stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,Al-Thumama Stadium,"[25.2353106, 51.5329152]",25.2353106,51.5329152
Ahmed Zabana Stadium,40000,Africa,Algeria,Oran,Ahmed Zabana Stadium,"[35.683357, -0.6365156]",35.683357,-0.6365156
Stadion Batakan,40000,Southeast Asia,Indonesia,Balikpapan - East Kalimantan,Stadion Batakan,"[-1.2331501, 116.9433188]",-1.2331501,116.9433188
Ali La Pointe Stadium,40000,Africa,Algeria,Algiers,Ali La Pointe Stadium,"[36.7729333, 3.0588445]",36.7729333,3.0588445
Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,Gresik - East Java,Stadion Gelora Joko Samudro,"[-7.1855067, 112.6506165]",-7.1855067,112.6506165
Fisht Olympic Stadium,40000,Europe,Russia,Sochi,Fisht Olympic Stadium,"[43.5854823, 39.723109]",43.5854823,39.723109
Rentschler Field,40000,North America,United States,East Hartford - Connecticut,Rentschler Field,"[41.7596149, -72.6188369]",41.7596149,-72.6188369
Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,Jawaharlal Nehru Stadium,"[28.583377, 77.2335404]",28.583377,77.2335404
Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,Hang Jebat Stadium,"[2.2885304, 102.2330317]",2.2885304,102.2330317
Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,Hong Kong Stadium,"[22.2743129, 114.1892295]",22.2743129,114.1892295
Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,Stadium Negeri Pulau Pinang,"[5.2614822, 100.4363541]",5.2614822,100.4363541
Accra Sports Stadium,40000,Africa,Ghana,Accra,Accra Sports Stadium,"[5.5515153, -0.1923351]",5.5515153,-0.1923351
Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,Sarawak Stadium,"[1.5885233, 110.3593436]",1.5885233,110.3593436
Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,Bogyoke Aung San Stadium,"[16.7838408, 96.1606229]",16.7838408,96.1606229
Resonac Dome Ōita,40000,East Asia,Japan,Ōita,Resonac Dome Ōita,"[33.2007823, 131.6574852]",33.2007823,131.6574852
Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,Stadium Darul Makmur,"[3.8153888, 103.3236608]",3.8153888,103.3236608
Khalifa International Stadium,40000,West Asia,Qatar,Doha,Khalifa International Stadium,"[25.263653, 51.4492245]",25.263653,51.4492245
Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,Stade de l’Amitié sino-gabonaise,"[0.5218802, 9.3929359]",0.5218802,9.3929359
Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,Peoples Football Stadium,"[24.8582424, 66.9875836]",24.8582424,66.9875836
JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,JRD Tata Sports Complex Stadium,"[22.8060299, 86.1935297]",22.8060299,86.1935297
Bao'an Stadium,40000,East Asia,China,Shenzhen,Bao'an Stadium,"[22.5609706, 113.8772183]",22.5609706,113.8772183
Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,Kunming,Kunming Tuodong Sports Centre Stadium,"[25.0363006, 102.7086139]",25.0363006,102.7086139
Taizhou Sports Centre Stadium,40000,East Asia,China,Taizhou,Taizhou Sports Centre Stadium,"[28.6496194, 121.395379]",28.6496194,121.395379
Wuhu Olympic Stadium,40000,East Asia,China,Wuhu,Wuhu Olympic Stadium,"[31.1800568, 118.2141777]",31.1800568,118.2141777
Huizhou Olympic Stadium,40000,East Asia,China,Huizhou,Huizhou Olympic Stadium,"[23.035558, 114.4415201]",23.035558,114.4415201
